++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
 Tue Jun 28 11:57:23 2016
 a 1.1 b -90 a 0.8 b -90 a 0.2 c 0.6 180 a 0.6 b -90 a 0.8 b -90 a 1.2 
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      length        time  angle(tem)  angle(ave)  angle(des)        C_PI   field dir temperature
        1.08       16.38      -69.44      -69.59      -90.00        0.00     -109.57       63.87
        1.08       16.43      -69.44      -69.44      -90.00        0.00     -109.79       63.87
        1.08       16.48      -71.57      -69.66      -90.00        0.00     -109.97       63.93
        1.08       16.54      -71.57      -70.42      -90.00        0.00     -110.12       63.93
        1.08       16.59      -71.57      -71.26      -90.00        0.00     -110.24       63.76
        1.08       16.64      -69.44      -71.03      -90.00        0.00     -110.45       63.76
        1.08       16.69      -71.57      -71.03      -90.00        0.00     -110.63       63.86
        1.08       16.74      -71.57      -71.18      -90.00        0.00     -110.81       63.86
        1.08       16.79      -71.57      -71.18      -90.00        0.00     -111.00       63.83
        1.08       16.84      -71.57      -71.57      -90.00        0.00     -111.16       63.83
        1.08       16.89      -71.57      -71.03      -90.00        0.00     -111.39       63.83
        1.08       16.94      -71.57      -71.03      -90.00        0.00     -111.57       63.83
        1.08       16.99      -71.57      -71.57      -90.00        0.00     -111.72       63.88
        1.08       17.04      -71.57      -71.57      -90.00        0.00     -111.90       63.88
        1.08       17.09      -71.57      -71.57      -90.00        0.00     -112.08       63.87
        1.08       17.14      -71.57      -71.57      -90.00        0.00     -112.27       63.87
        1.08       17.19      -71.57      -71.57      -90.00        0.00     -112.45       63.77
        1.08       17.24      -71.57      -71.57      -90.00        0.00     -112.64       63.77
        1.08       17.29      -71.57      -71.57      -90.00        0.00     -112.82       63.90
        1.08       17.34      -71.57      -71.57      -90.00        0.00     -113.00       63.90
        1.08       17.39      -71.57      -71.57      -90.00        0.00     -113.18       63.76
        1.08       17.44      -71.57      -72.19      -90.00        0.00     -113.31       63.76
        1.08       17.49      -71.57      -72.19      -90.00        0.00     -113.49       63.94
        1.08       17.54      -71.57      -71.57      -90.00        0.00     -113.72       63.94
        1.08       17.59      -71.57      -71.57      -90.00        0.00     -113.91       64.07
        1.08       17.64      -71.57      -71.57      -90.00        0.00     -114.09       64.07
        1.08       17.69      -71.57      -71.57      -90.00        0.00     -114.27       63.79
        1.08       17.74      -74.05      -72.19      -90.00        0.00     -114.41       63.79
        1.08       17.79      -74.05      -73.43      -90.00        0.00     -114.48       63.76
        1.08       17.84      -71.57      -73.43      -90.00        0.00     -114.64       63.76
        1.08       17.89      -73.30      -72.62      -90.00        0.00     -114.88       63.77
        1.08       17.94      -71.57      -72.62      -90.00        0.00     -115.02       63.77
        1.08       17.99      -74.05      -73.43      -90.00        0.00     -115.18       63.81
        1.08       18.04      -74.05      -74.05      -90.00        0.00     -115.33       63.81
